Number,Title,Source,URL,Date
1,Update on the Coronavirus,No Source,https://coronavirus.kennesaw.edu/,"September 07, 2020"
2,Engineering professors to discuss use of 3D-printed devices in teaching,No Source,https://news.kennesaw.edu/stories/2020/research-with-relevance-engineering.php,"September 02, 2020"
3,"Written by Whitten | KSU Reaches Record Enrollment with Nearly 41,000 Students",No Source,https://president.kennesaw.edu/writtenbywhitten/posts/ksu-reaches-record-enrollment-with-nearly-41000-students.php,"September 01, 2020"
4,Written by Whitten | Innovating Interdisciplinary Research,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/innovating-interdisciplinary-research.php,"August 25, 2020"
5,New KSU internal grant focuses on university's signature research themes,No Source,https://news.kennesaw.edu/stories/2020/interdisciplinary-innovation-initiative-ksursf.php,"August 25, 2020"
6,"Sociology professor to discuss causes, consequences of medication errors",No Source,https://news.kennesaw.edu/stories/2020/ksu-research-friday-features.php,"August 19, 2020"
7,Written by Whitten | Welcome Back: New Faces and Wide-Open Spaces,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/welcome-back-new-faces-and-wide-open-spaces.php,"August 18, 2020"
8,Kennesaw State names new dean of students,No Source,https://news.kennesaw.edu/stories/2020/kennesaw-state-names-new-dean-of-students.php,"August 18, 2020"
9,Kennesaw State welcomes Owls home,No Source,https://experience.kennesaw.edu/ksu-movein-2020,"August 14, 2020"
10,Engineering Students Address Pandemic Needs Through Design ,No Source,https://news.kennesaw.edu/stories/2020/engineering-students-design-projects-for-pandemic.php,"August 13, 2020"
11,Showing CARE: Alumnus establishes scholarship fund,No Source,https://news.kennesaw.edu/stories/2020/care-donor-chanel-reid.php,"August 12, 2020"
12,Written by Whitten | Fall Semester 2020: The Countdown Begins,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/fall-semester-2020-the-countdown-begins.php,"August 11, 2020"
13,KSU Professor Wins Most Influential Paper Award at International Conference,No Source,https://news.kennesaw.edu/stories/2020/software-engineering-professor-most-influential-paper.php,"August 10, 2020"
14,KSU exercise science professor earns young researcher award,No Source,https://news.kennesaw.edu/stories/2020/exercise-science-earns-young-researcher-award.php,"August 05, 2020"
15,Written by Whitten | Summer Wrap-up,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/summer-wrap-up.php,"August 04, 2020"
16,Three KSU teams recognized for excellence in classroom,No Source,https://news.kennesaw.edu/stories/2020/ksu-teams-ncaa-academic-progress.php,"July 30, 2020"
17,Written by Whitten | Student Ambassadors at KSU,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/student-ambassadors-at-ksu.php,"July 28, 2020"
18,KSU financial aid director honored with national award,No Source,https://news.kennesaw.edu/stories/2020/ksu-financial-aid-director-honored.php,"July 23, 2020"
19,Donors construct pathway to graduation through scholarship endowment,No Source,https://news.kennesaw.edu/stories/2020/ksu-donors-albion-achievement-scholarship.php,"July 22, 2020"
20,"Congratulations, Class of 2020!",No Source,https://experience.kennesaw.edu/classof2020summer,"July 22, 2020"
21,Written by Whitten | A Summer Celebration of Our Newest Graduates,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/a-summer-celebration-of-our-newest-graduates.php,"July 21, 2020"
22,KSU welcomes Jeffrey Coleman as Deputy Chief Diversity Officer,No Source,https://news.kennesaw.edu/stories/2020/ksu-deputy-chief-diversity-officer.php,"July 17, 2020"
23,"Kennesaw State, UT program to offer research experience to ROTC students",No Source,https://news.kennesaw.edu/stories/2020/data-science-institute-rotc-students.php,"July 16, 2020"
24,Written by Whitten | From Virtual Learning to Virtual Internships,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/from-virtual-learning-to-virtual-internships.php,"July 14, 2020"
25,"KSU Foundation inducts new trustees, appoints Trent Turk as chair",No Source,https://news.kennesaw.edu/stories/2020/ksu-foundation-trustees-2020.php,"July 10, 2020"
26,KSU Joins Peach Belt Conference for Esports,No Source,https://news.kennesaw.edu/stories/2020/ksu-joins-peach-belt-conference-for-esports.php,"July 09, 2020"
27,Written by Whitten | KSU Summer Students Enroll in Record Numbers,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/ksu-summer-students-enroll-in-record-numbers.php,"July 07, 2020"
28,KSU's graduate enrollment increases for summer term,No Source,https://news.kennesaw.edu/stories/2020/ksu-graduate-enrollment-summer-2020.php,"July 07, 2020"
29,Written by Whitten | Working Together Toward Positive Change,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/working-together-toward-positive-change.php,"June 30, 2020"
30,Kennesaw State's summer enrollment reaches new high,No Source,https://news.kennesaw.edu/stories/2020/ksu-summer-2020-enrollment.php,"June 24, 2020"
31,Written by Whitten | An Update on Fall 2020 Return to Campus,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/an-update-on-fall-2020-return-to-campus.php,"June 23, 2020"
32,Written by Whitten | Staying Connected to the World,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/staying-connected-to-the-world.php,"June 16, 2020"
33,Kennesaw State honors student success,No Source,https://news.kennesaw.edu/stories/2020/ksu-president-dean-lists-spring-2020.php,"June 16, 2020"
34,Theatre and performance studies professor receives award for innovative research work,No Source,https://arts.kennesaw.edu/theatre/about/news/posts/charles_parrott_cur_awardee.php,"June 11, 2020"
35,Owls Dominate Big South All-Decade Team,No Source,https://ksuowls.com/news/2020/6/8/football-owls-dominate-big-south-all-decade-team.aspx,"June 10, 2020"
36,Written by Whitten | Our Collective Responsibility,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/our-collective-responsibility.php,"June 09, 2020"
37,Scholarship Endowment Established in Honor of Late KSU Alumnus ,No Source,https://news.kennesaw.edu/stories/2020/john-boyko-endowed-scholarship.php,"June 04, 2020"
38,"KSU geography professor honored for scholarship, teaching and service",No Source,https://news.kennesaw.edu/stories/2020/geography-faculty-national-award.php,"June 03, 2020"
39,KSU among top 15 national schools where students are eager to enroll,No Source,https://news.kennesaw.edu/stories/2020/ksu-admissions-yield-2020-us-news.php,"June 02, 2020"
40,Incoming KSU student wins Declaration Days scholarship,No Source,https://news.kennesaw.edu/stories/2020/ksu-declaration-days-scholarship.php,"June 01, 2020"
41,A Message from KSU President Pamela Whitten,No Source,https://news.kennesaw.edu/stories/2020/ksu-message-from-president.php,"May 31, 2020"
42,Written by Whitten | Owl Alumni Flying High,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/owl-alumni-flying-high.php,"May 26, 2020"
43,College of the Arts offering free virtual workshops to high school students,No Source,https://news.kennesaw.edu/stories/2020/college-of-the-arts-virtual-workshops.php,"May 22, 2020"
44,KSU student dedicated to helping others earns scholarship,No Source,https://news.kennesaw.edu/stories/2020/ksu-geography-student-wins-taco-bell-scholarship.php,"May 20, 2020"
45,Written by Whitten | Looking Ahead to Fall 2020,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/looking-ahead-to-fall-2020.php,"May 19, 2020"
46,"Weekly ""Ask Admissions"" series utilizes social media to help prospective students",No Source,https://news.kennesaw.edu/stories/2020/ask-admissions-may-june-2020.php,"May 18, 2020"
47,Coles College students aid small businesses hit by pandemic,No Source,https://news.kennesaw.edu/stories/2020/coles-college-entrepreneurship-class-small-businesses.php,"May 14, 2020"
48,Alum shifts company focus to help save lives,No Source,https://news.kennesaw.edu/stories/2020/inside-the-nest-podcast-alum-mickey-dunn.php,"May 13, 2020"
49,Written by Whitten | The Owl Spirit is Alive,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/the-owl-spirit-is-alive.php,"May 12, 2020"
50,Food pantry gets helping hand from KSU Police to aid students,No Source,https://news.kennesaw.edu/stories/2020/care-ksu-police-provide-food-to-students.php,"May 11, 2020"
51,"More than 3,500 spring graduates earn degrees from Kennesaw State",No Source,https://news.kennesaw.edu/stories/2020/kennesaw-state-spring-2020-graduates.php,"May 07, 2020"
52,Office of Research continues to support KSU innovation,No Source,https://news.kennesaw.edu/stories/2020/ksu-office-of-research-resources.php,"May 07, 2020"
53,Joel A. Katz Music and Entertainment Business Program Recognized by Billboard Magazine,No Source,https://coles.kennesaw.edu/news/stories/2020-05-05-joel-a-katz-music-entertainment-business-program-billboard-magazine-top-program.php,"May 06, 2020"
54,Written by Whitten | Graduates Making Transition to Success,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/graduates-making-transition-to-success.php,"May 05, 2020"
55,Architecture student wins prestigious Portman Prize ,No Source,https://news.kennesaw.edu/stories/2020/architecture-student-wins-portman-prize.php,"May 01, 2020"
56,KSU Player Headed to the NFL,No Source,https://ksuowls.com/news/2020/4/25/football-rechsteiner-headed-to-baltimore-ravens.aspx,"April 30, 2020"
57,"Video conferencing connects students to jobs, internships",No Source,https://news.kennesaw.edu/stories/2020/virtual-career-fair-may-2020.php,"April 30, 2020"
58,Green Ribbon School,No Source,https://news.kennesaw.edu/stories/2020/ksu-green-ribbon-school.php,"April 29, 2020"
59,Written by Whitten | Award Season,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/award-season.php,"April 28, 2020"
60,Georgia National Guard opens drive-thru COVID-19 testing site at KSU,No Source,https://news.kennesaw.edu/stories/2020/covid19-testing-site-kennesaw-state.php,"April 22, 2020"
61,Auditions at ArtsKSU Continue,No Source,https://arts.kennesaw.edu/news/posts/auditions_continue_despite_quarantine.php,"April 22, 2020"
62,KSU launches Moving Forward fund to support students financially impacted by coronavirus ,No Source,https://news.kennesaw.edu/stories/2020/ksu-moving-forward-fund.php,"April 21, 2020"
63,Written by Whitten | Moving Students Forward,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/moving-students-forward.php,"April 21, 2020"
64,Kennesaw State Wins Regional Cyber Defense Competition,No Source,https://news.kennesaw.edu/stories/2020/ksu-wins-cyber-defense-competition.php,"April 20, 2020"
65,Students share research via Virtual Symposium ,No Source,https://news.kennesaw.edu/stories/2020/symposium-student-scholars-winners-2020.php,"April 17, 2020"
